,precision,recall,f1-score,support
صفحه نخست,0.935,0.935,0.935,200.0
عصرايران دو,0.9333333333333333,0.9333333333333333,0.9333333333333333,195.0
accuracy,0.9341772151898734,0.9341772151898734,0.9341772151898734,0.9341772151898734
macro avg,0.9341666666666667,0.9341666666666667,0.9341666666666667,395.0
weighted avg,0.9341772151898734,0.9341772151898734,0.9341772151898734,395.0
